dataset	dataset_label	method	method_label	seed	run_name	params_total	params_trainable	method_params	param_kind	artifact_variant	artifact_dataset	artifact_seed	map_macro	map_L1	map_L2	map_L3	map_weighted	f1	macro_f1	acc	auc	macro_auc	loss	nll	ece	calibration_mode	precision	recall	kappa_quad	kappa_lin	balanced_acc	binary_f1	binary_auc
kgh	KGH	xsa_all_ref	XSA	44	classification_kgh_xsa_all_ref_s44	7723780	7723780	0	ab_params									0.8246132533923232		0.8253012048192772	0.9517681885628202		0.6410893178615068	0.6410893159229675	0.10764567405423522	multiclass	0.8305555555555555	0.8248288226237743	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	xsa_all_ref	XSA	45	classification_kgh_xsa_all_ref_s45	7723780	7723780	0	ab_params									0.8406816801471009		0.8433734939759037	0.9653363681730538		0.5405728454920408	0.5405728477727677	0.12048124882237017	multiclass	0.8546391910996374	0.8409132498717014	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	xsa_all_ref	XSA	46	classification_kgh_xsa_all_ref_s46	7723780	7723780	0	ab_params									0.8963963481024572		0.8975903614457831	0.9830562633036308		0.46560220329823104	0.46560220113953016	0.10514003107340836	multiclass	0.9024003131145988	0.8970455865272938	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	diff_transformer	Diff	42	classification_kgh_diff_transformer_s42	7719172	7719172	0	diff_params									0.8432306602355596		0.8433734939759037	0.9613800446336904		0.7277314092189702	0.7277314161407229	0.1425367791950149	multiclass	0.8444333210301058	0.8437167436458417	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	diff_transformer	Diff	43	classification_kgh_diff_transformer_s43	7719172	7719172	0	diff_params									0.8428010173094442		0.8433734939759037	0.9708361129190544		0.4147099777845756	0.41470997396258846	0.06533541616306077	multiclass	0.8517998990855686	0.8429337844042892	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	diff_transformer	Diff	44	classification_kgh_diff_transformer_s44	7719172	7719172	0	diff_params									0.8168399988575427		0.8192771084337349	0.9615059280935215		0.609576857613725	0.6095768550100393	0.11399927415494782	multiclass	0.8202006327006327	0.8187587783269858	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	diff_transformer	Diff	45	classification_kgh_diff_transformer_s45	7719172	7719172	0	diff_params									0.8480766370324603		0.8493975903614458	0.967215501973635		0.6236909560379517	0.6236909495986437	0.10537828666360637	multiclass	0.8506174598455647	0.848665356670178	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	diff_transformer	Diff	46	classification_kgh_diff_transformer_s46	7719172	7719172	0	diff_params									0.8845230741494505		0.8855421686746988	0.9830518238589845		0.44971814149421224	0.449718137675389	0.08998412259961497	multiclass	0.8865400648701165	0.8848291940145315	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	gated_post_attention	Gated SRP	42	classification_kgh_gated_post_attention_s42	7724833	7724833	1053	gate_params									0.8668487274081094		0.8674698795180723	0.9661835533651125		0.5447124843120978	0.5447124829029696	0.10915938721799026	multiclass	0.8676382088943289	0.8669517934797288	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	gated_post_attention	Gated SRP	43	classification_kgh_gated_post_attention_s43	7724833	7724833	1053	gate_params									0.8882650535352976		0.891566265060241	0.9802671571275514		0.39091367021354523	0.3909136673276169	0.08752921440829958	multiclass	0.8937080400116953	0.8895698282148934	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	gated_post_attention	Gated SRP	44	classification_kgh_gated_post_attention_s44	7724833	7724833	1053	gate_params									0.8112153745399941		0.8132530120481928	0.9602052259217534		0.8205617528036377	0.8205617445505965	0.1567312848994176	multiclass	0.8253783251159883	0.8139543324419956	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	gated_post_attention	Gated SRP	45	classification_kgh_gated_post_attention_s45	7724833	7724833	1053	gate_params									0.8268414346617083		0.8313253012048193	0.9647929374184427		0.5532768672298506	0.5532768670065129	0.09832638475206829	multiclass	0.8467592592592592	0.8282680698484726	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	gated_post_attention	Gated SRP	46	classification_kgh_gated_post_attention_s46	7724833	7724833	1053	gate_params									0.8787208942032224		0.8795180722891566	0.9762662952323446		0.43650570348626094	0.4365057093416546	0.07879841510209964	multiclass	0.8813189099230289	0.8793128595737785	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	baseline	NA	42	classification_bracs_baseline_s42	7724935	7724935	0	ab_params									0.3892700880530624		0.5137614678899083	0.8357755663405567		2.0207149969347658	2.020714982267647	0.3511068536707198	multiclass	0.39349800526271117	0.39373289545703344	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	baseline	NA	43	classification_bracs_baseline_s43	7724935	7724935	0	ab_params									0.3529877300063635		0.4954128440366973	0.8346994930523862		1.3853655698294793	1.3853655591972933	0.1780343733353499	multiclass	0.37260358688930123	0.3503663003663004	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	baseline	NA	44	classification_bracs_baseline_s44	7724935	7724935	0	ab_params									0.4370305965487827		0.5909090909090909	0.8739751052335895		1.1495953540423547	1.1495953525712346	0.17938317096133144	multiclass	0.5603751087622055	0.44705821910255406	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	baseline	NA	45	classification_bracs_baseline_s45	7724935	7724935	0	ab_params									0.5229265508816008		0.6055045871559633	0.8577858592686792		1.6121803070610783	1.6121802969397336	0.23289905642562964	multiclass	0.5309814202360786	0.5560744810744811	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	baseline	NA	46	classification_bracs_baseline_s46	7724935	7724935	0	ab_params									0.38743021017930984		0.5137614678899083	0.833915047237373		1.8912347187010417	1.891234704713982	0.3273749245964108	multiclass	0.41092613992007315	0.3886639359545763	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	xsa_all_ref	XSA	42	classification_bracs_xsa_all_ref_s42	7724935	7724935	0	ab_params									0.41768707482993195		0.5412844036697247	0.825632538090345		1.823265085538311	1.8232650848715053	0.29812987199249247	multiclass	0.43532688509647033	0.4131089217296114	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	xsa_all_ref	XSA	43	classification_bracs_xsa_all_ref_s43	7724935	7724935	0	ab_params									0.3725324984404887		0.4954128440366973	0.822478102547693		1.799530965327328	1.7995309616087032	0.3297256246229611	multiclass	0.36259602466499014	0.3923076923076923	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	xsa_all_ref	XSA	44	classification_bracs_xsa_all_ref_s44	7724935	7724935	0	ab_params									0.4545460874408243		0.6	0.8715249890590417		1.350543286671481	1.3505432757768714	0.20951184319778815	multiclass	0.4878183831672204	0.456613957106568	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	xsa_all_ref	XSA	45	classification_bracs_xsa_all_ref_s45	7724935	7724935	0	ab_params									0.5086621315192744		0.6146788990825688	0.8556141203462582		1.5375969536653762	1.537596937638883	0.22145913350540128	multiclass	0.5155677655677656	0.5366300366300366	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	xsa_all_ref	XSA	46	classification_bracs_xsa_all_ref_s46	7724935	7724935	0	ab_params									0.41079209856494686		0.5321100917431193	0.8372887484840081		1.693736473653773	1.693736469207695	0.2928698038396426	multiclass	0.5153830419802026	0.39851615270334484	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	diff_transformer	Diff	42	classification_bracs_diff_transformer_s42	7720327	7720327	0	diff_params									0.41127549668127245		0.5321100917431193	0.8396436317142467		1.7893168649490956	1.789316855507572	0.3242649411318791	multiclass	0.4261494510084735	0.4115216201423098	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	diff_transformer	Diff	43	classification_bracs_diff_transformer_s43	7720327	7720327	0	diff_params									0.36632228649035364		0.5045871559633027	0.7932188808350435		2.1959870571351754	2.195987052009308	0.35915658844946974	multiclass	0.3851932262266609	0.372985347985348	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	diff_transformer	Diff	44	classification_bracs_diff_transformer_s44	7720327	7720327	0	diff_params									0.3831131934918751		0.5727272727272728	0.8825893832300109		1.271149050175551	1.2711490484051018	0.19566400781850227	multiclass	0.49525719378660554	0.3944882521237201	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	diff_transformer	Diff	45	classification_bracs_diff_transformer_s45	7720327	7720327	0	diff_params									0.5066438483150073		0.6055045871559633	0.8440348036654411		1.6401555118014302	1.6401555077742183	0.2560582396201929	multiclass	0.49744144744144736	0.5461538461538461	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	diff_transformer	Diff	46	classification_bracs_diff_transformer_s46	7720327	7720327	0	diff_params									0.269576549721012		0.46788990825688076	0.8030058685159567		1.8407220759625555	1.8407220799177584	0.3698105961120627	multiclass	0.2987012987012987	0.29233114996661796	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	gated_post_attention	Gated SRP	42	classification_bracs_gated_post_attention_s42	7726948	7726948	2013	gate_params									0.3892700880530624		0.5137614678899083	0.8362095010760086		2.023887264251777	2.023887256589704	0.3509214133172456	multiclass	0.39349800526271117	0.39373289545703344	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	gated_post_attention	Gated SRP	43	classification_bracs_gated_post_attention_s43	7726948	7726948	2013	gate_params									0.36795371640092134		0.5045871559633027	0.8342477506857827		1.3880422379791635	1.3880422261714902	0.16871415023166805	multiclass	0.38899196042053186	0.3646520146520147	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	gated_post_attention	Gated SRP	44	classification_bracs_gated_post_attention_s44	7726948	7726948	2013	gate_params									0.5410176072157112		0.6545454545454545	0.8838866122532935		1.2540429505117408	1.2540429473381625	0.215395429536107	multiclass	0.6133426204854777	0.5459157108171887	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	gated_post_attention	Gated SRP	45	classification_bracs_gated_post_attention_s45	7726948	7726948	2013	gate_params									0.5351161157027445		0.6146788990825688	0.8580913702726803		1.5991455584619227	1.5991455684850255	0.23352893023089563	multiclass	0.5476480869027452	0.5719474969474969	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
bracs	BRACS	gated_post_attention	Gated SRP	46	classification_bracs_gated_post_attention_s46	7726948	7726948	2013	gate_params									0.3787179487179487		0.5137614678899083	0.8144675484436904		2.2043357920435627	2.204335786359837	0.3988154051450131	multiclass	0.4214285714285714	0.37771702845594474	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
panda	PANDA	baseline	NA	42	classification_panda_transmil_baseline_s42	7724550	7724550	0	method_params									0.6912997368186855	0.6912997368186855	0.74234573716439	0.9043571428639573	0.9043571428639573	1.7215642686099508	1.7215642731626328	0.23590736533377987	multiclass			0.8676056110330842	0.7990641722619529	0.688927526971573	0.96875	0.9847644483264465
panda	PANDA	baseline	NA	43	classification_panda_transmil_baseline_s43	7724550	7724550	0	method_params									0.6845736584964656	0.6845736584964656	0.7305699481865285	0.93764278728173	0.93764278728173	0.7353339702945099	0.7353339650592333	0.07831661296596988	multiclass			0.8866930799554584	0.8078309920701668	0.6868708901745336	0.9703947368421053	0.9916417509322403
